"","doy","Season","Year","mean_t","mean_vpd","mean_swc","mean_gpp","mean_ET","mean_NEE","mean_ppfd","mean_SWP","mean_PP","mean_DF","mean_3sap","N","se_t","se_vpd","se_GPP","se_swc","se_ET","se_SWP","se_PP","se_DF","se_3sap","se_ppfd"
"21",131,"Pre-monsoon",2022,13.3071428571429,1.25736978685714,6.1047619047619,8.94178018528571,4.05141301650146e-05,-6.774513367,1905.14285714286,7.83912857142857,2.39507142857143,7.43324285714286,5.88914761904762,7,0.316684568058279,0.306845833840047,0.703230973824263,0.00224478343233824,3.18492002599108e-06,0.367091254201955,0.10999298617095,0.149800816733012,0.208032890391171,52.6707782774637
"22",131,"Pre-monsoon",2023,12.4785714285714,1.08873369822857,8.3952380952381,12.1379650067143,0.000107931848332362,-10.2869519417,1914.14285714286,7.89287142857143,2.65208571428571,8.22775714285714,6.25757142857143,7,0.366439942272287,0.342733030884831,2.30730370797175,0.00409839507535188,1.12257545331123e-05,0.473346649233029,0.149824264403606,0.221326917065429,0.278354196673491,21.1360993061054
"23",132,"Pre-monsoon",2022,15.5466666666667,1.53017111733333,6.06349206349206,15.5465752214286,9.88206943906706e-05,-13.4973857427143,1979,5.6053,0.413197142857143,6.18131428571429,4.06660380952381,7,0.0454082014828243,0.0307402871398567,0.799991340188743,0.00930073853505126,9.52813333814864e-06,0.408703485485038,0.216786059281125,0.277132116875835,0.297245396928087,21.3374252028148
"24",132,"Pre-monsoon",2023,14.9828571428571,1.34465560814286,8.27301587301587,11.4281769075714,0.000103745639267055,-9.31749727128572,1917.14285714286,8.20192857142857,2.60378571428571,8.8515,6.55240476190476,7,0.37128293848245,0.506003417965647,1.09356237740677,0.0022447834323386,3.09381037248718e-05,0.313709300311675,0.0657116407335196,0.0854972709116105,0.148182964523783,21.4358717723226
"25",133,"Pre-monsoon",2022,18.644,2.0112905404,5.9968253968254,10.8655996869714,8.24893377346939e-05,-8.59590429771429,2021.8,9.07458571428571,2.16418571428571,7.32032857142857,6.18636666666667,7,0.142893566785113,0.236913195174332,1.86148101820611,0.00204919753767587,6.36893481989059e-06,0.274623074524382,0.0527028391237197,0.0938422224858749,0.13550380478463,17.893334752679
"26",133,"Pre-monsoon",2023,16.0257142857143,1.54601837414286,8.13333333333333,11.9972236414286,6.79256696332361e-05,-9.72689822928571,1875.71428571429,8.56104285714286,2.60635714285714,8.56404285714286,6.57714761904762,7,0.0762470028406159,0.109054113244112,0.737074895144176,0.00242464322484454,1.3644125600227e-05,0.181730764826305,0.0760148195361645,0.106998542173297,0.0990787338185492,42.3655937927815
"27",134,"Pre-monsoon",2022,21.6857142857143,2.46265789671429,5.95238095238095,9.90493500128571,9.30864165247813e-05,-7.24894183985714,1998.42857142857,8.58102857142857,1.86172857142857,6.96241428571429,5.80172380952381,7,0.431546814449168,0.782207799235433,0.347857367173999,0.00317460317460328,9.41270700801229e-06,0.201712415174114,0.0502367998027518,0.115029400855714,0.11469144036422,28.6604565334798
"28",134,"Pre-monsoon",2023,15.8671428571429,1.16055739342857,8.03015873015873,10.6551920011429,7.77404615721088e-05,-8.39868022871429,1668.95714285714,7.7556,2.13572857142857,7.66608571428571,5.85247142857143,7,0.368760564243923,0.286952672004836,1.10987970960318,0.00317460317460316,9.52487421555872e-06,0.391340056728161,0.106174785622768,0.157324241205061,0.20683443874058,223.969921298058
"29",135,"Pre-monsoon",2022,21.5142857142857,2.45031679028571,5.9,9.32286328128571,5.05713638034985e-05,-6.51491791742857,2009.28571428571,8.38382857142857,1.92565714285714,6.54954285714286,5.61967619047619,7,0.180631921753777,0.26937194107592,0.396152312399997,0.00342896333249092,2.6356828593625e-06,0.155155028023872,0.0638565984849493,0.0990427441565915,0.0978848853425984,23.0772143710902
"30",135,"Pre-monsoon",2023,15.3942857142857,1.00878023357143,7.93333333333333,10.6930056212857,6.19508039459184e-05,-8.44242352371429,1665.85714285714,7.13445714285714,2.23918571428571,7.43837142857143,5.60400476190476,7,0.249388367457525,0.321272796860576,0.314669478971354,0,6.42459662606702e-06,0.365598459708868,0.0755781160962157,0.162153642183792,0.198195722358733,106.372980048289
"31",136,"Pre-monsoon",2022,18.5614285714286,1.96198348185714,5.86190476190476,11.309693421,5.00396894180758e-05,-8.68183477314286,2014.14285714286,7.93254285714286,1.9096,6.3113,5.38448095238095,7,0.379187279846356,0.476300459627462,0.572019030060072,0.00330423174518433,6.22486846694271e-06,0.254819400899598,0.0442567186182747,0.128500680005612,0.141252944691344,22.7767932976785
"32",136,"Pre-monsoon",2023,15.4357142857143,0.9934324887,7.83968253968254,10.0187501387143,9.05759891183674e-05,-7.65944330471429,1246.31428571429,5.67562857142857,1.57431714285714,5.89878571428571,4.38291047619048,7,0.746441900086056,0.973861997870236,1.48416784158071,0.00224478343233824,1.15994897788207e-05,0.81781164315108,0.307244318299315,0.755960817020795,0.623119441662676,272.156806541631
"33",137,"Pre-monsoon",2022,17.9057142857143,1.83854785185714,5.78888888888889,12.5850706042857,6.67763156851312e-05,-9.97445798742857,2017.14285714286,7.8077,1.78655714285714,6.54617142857143,5.38014285714286,7,0.150140523746083,0.210423689634223,0.753392837630609,0.00242464322484435,8.65694389931383e-06,0.211952854146747,0.0815094059928431,0.132699172341564,0.136564732352277,22.8842101639959
"34",137,"Pre-monsoon",2023,13.0457142857143,0.583218286114286,7.75079365079365,10.220693791,5.28244301142857e-05,-8.02094598828571,403.042857142857,3.2296,0.716257142857143,4.02408571428571,2.65664761904762,7,0.386965343242451,0.496954659748386,0.429263689138393,0.00330423174518433,8.97859103565068e-06,0.513600604972941,0.182482784194046,0.61325258970143,0.433966134953054,95.3051661447455
"35",138,"Pre-monsoon",2022,17.6485714285714,1.778340729,5.74920634920635,13.1105070328571,5.15997325201166e-05,-10.4856826281429,2015,7.19247142857143,1.66468571428571,6.54291428571429,5.13335714285714,7,0.226972083152559,0.426325479708102,0.848338816739018,0.00476190476190474,3.75120186894526e-06,0.27705271349406,0.0651861014567465,0.141986688558791,0.158000499248137,22.9533688781656
"36",138,"Pre-monsoon",2023,13.2342857142857,0.796697211457143,7.63809523809524,9.26976112557143,4.28630307308455e-05,-7.07447526414286,693.428571428571,5.91972857142857,1.59188571428571,6.32155714285714,4.61105714285714,7,0.356423084221528,0.369493036440867,0.608196246526417,0.00224478343233824,1.31585237989079e-05,0.280848799953594,0.125563714482162,0.188753392725286,0.193999422858778,127.396323327162
"37",139,"Pre-monsoon",2022,17.1457142857143,1.54812029642857,5.68730158730159,14.2039348257143,7.69554466927114e-05,-11.6078184958571,2000.28571428571,6.76191428571429,1.57155714285714,6.27151428571429,4.86832857142857,7,0.161110094609351,0.304143439956513,1.43111228750338,0.00614759261302762,2.32229373643453e-05,0.295674645376243,0.0715346398179061,0.1429603065599,0.16681718353062,23.1760490960103
